date,prediction
2022-10-01,6.4934006
2022-10-02,5.852435
2022-10-03,5.559594
2022-10-04,5.6759887
2022-10-05,6.051819
2022-10-06,6.191936
2022-10-07,6.3075094
2022-10-08,6.591157
2022-10-09,6.6040287
2022-10-10,6.6834397
2022-10-11,6.5724106
2022-10-12,6.5097303
2022-10-13,6.5271893
2022-10-14,6.5729904
2022-10-15,6.999428
2022-10-16,7.6061764
2022-10-17,7.9298115
2022-10-18,7.8474827
2022-10-19,7.5405664
2022-10-20,7.394902
2022-10-21,7.5853443
2022-10-22,8.115885
2022-10-23,8.603338
2022-10-24,8.546146
2022-10-25,8.248911
2022-10-26,8.643637
2022-10-27,9.04226
2022-10-28,9.293576
2022-10-29,9.094624
2022-10-30,9.056614
2022-10-31,8.673002
2022-11-01,9.111146
2022-11-02,9.330925
2022-11-03,9.461031
2022-11-04,9.430959
2022-11-05,9.421972
2022-11-06,9.507494
2022-11-07,9.815448
2022-11-08,10.019903
2022-11-09,9.781635
2022-11-10,9.55224
2022-11-11,9.234778
2022-11-12,9.162494
2022-11-13,8.966146
2022-11-14,9.095659
2022-11-15,10.180736
2022-11-16,11.040797
2022-11-17,11.550637
2022-11-18,11.230512
2022-11-19,10.85589
2022-11-20,10.812364
2022-11-21,11.273746
2022-11-22,11.153255
2022-11-23,11.308615
2022-11-24,10.937943
2022-11-25,11.034432
2022-11-26,11.340965
2022-11-27,11.056278
2022-11-28,11.901403
2022-11-29,12.454058
2022-11-30,12.640728
2022-12-01,13.192654
2022-12-02,13.659939
2022-12-03,13.40261
2022-12-04,13.859522
2022-12-05,15.002792
2022-12-06,14.639903
2022-12-07,14.640852
2022-12-08,14.009117
2022-12-09,14.219523
2022-12-10,13.521361
2022-12-11,12.844983
2022-12-12,12.025788
2022-12-13,12.311738
2022-12-14,12.720037
2022-12-15,12.4703865
2022-12-16,12.228281
2022-12-17,12.571432
2022-12-18,12.058138
2022-12-19,11.384268
2022-12-20,12.286573
2022-12-21,12.699776
2022-12-22,12.438562
2022-12-23,12.211048
2022-12-24,11.31968
2022-12-25,11.197983
2022-12-26,11.46537
2022-12-27,11.724737
2022-12-28,12.402036
2022-12-29,12.642552
2022-12-30,12.713615
2022-12-31,12.723087
2023-01-01,12.085768
2023-01-02,11.573379
2023-01-03,11.241907
2023-01-04,11.678484
2023-01-05,11.884514
2023-01-06,12.5795965
2023-01-07,14.428317
2023-01-08,16.494396
2023-01-09,16.339848
2023-01-10,17.241196
2023-01-11,17.445398
2023-01-12,16.473637
2023-01-13,15.392074
2023-01-14,15.120948
2023-01-15,14.7930565
2023-01-16,14.615797
2023-01-17,14.444494
2023-01-18,14.323674
2023-01-19,13.981409
2023-01-20,14.317778
2023-01-21,14.086351
2023-01-22,14.37504
2023-01-23,14.386966
2023-01-24,14.143509
2023-01-25,14.461932
2023-01-26,13.880433
2023-01-27,13.613712
2023-01-28,13.656352
2023-01-29,12.998631
2023-01-30,13.275331
2023-01-31,13.047804
2023-02-01,12.250862
2023-02-02,12.795709
2023-02-03,13.372999
2023-02-04,12.837158
2023-02-05,13.091644
2023-02-06,13.68998
2023-02-07,14.099086
2023-02-08,14.353191
2023-02-09,14.936968
2023-02-10,13.611094
2023-02-11,13.511575
2023-02-12,13.093208
2023-02-13,13.134755
2023-02-14,12.844074
2023-02-15,12.774237
2023-02-16,13.247531
2023-02-17,12.880022
2023-02-18,12.484549
2023-02-19,13.204556
2023-02-20,14.024953
2023-02-21,14.29861
2023-02-22,13.4809475
2023-02-23,13.359043
2023-02-24,14.017637
2023-02-25,13.840887
2023-02-26,12.686458
2023-02-27,11.408106
2023-02-28,10.99296
2023-03-01,11.156874
2023-03-02,11.255925
2023-03-03,11.509277
2023-03-04,11.193397
2023-03-05,10.677951
2023-03-06,10.509783
2023-03-07,10.561728
2023-03-08,11.06266
2023-03-09,10.57674
2023-03-10,9.67888
2023-03-11,9.255331
2023-03-12,9.857351
2023-03-13,9.122391
2023-03-14,8.995386
2023-03-15,9.439114
2023-03-16,9.008305
2023-03-17,8.732567
2023-03-18,8.217026
2023-03-19,8.514294
2023-03-20,8.9398575
2023-03-21,8.368315
2023-03-22,7.877219
2023-03-23,7.6268473
2023-03-24,7.571274
2023-03-25,6.9748383
2023-03-26,6.387049
2023-03-27,5.6887283
2023-03-28,5.4901304
2023-03-29,5.6516953
2023-03-30,6.181165
2023-03-31,6.166138
2023-04-01,6.323348
2023-04-02,6.2164807
2023-04-03,6.0458546
2023-04-04,5.842839
2023-04-05,5.6117425
2023-04-06,5.0654907
2023-04-07,5.006775
2023-04-08,5.5152674
2023-04-09,5.846528
2023-04-10,6.041626
2023-04-11,5.9936256
2023-04-12,5.7823563
2023-04-13,5.461667
2023-04-14,5.223917
2023-04-15,5.517567
2023-04-16,6.136879
2023-04-17,6.1635313
2023-04-18,6.0860467
2023-04-19,5.8852
2023-04-20,5.78216
2023-04-21,5.719431
2023-04-22,5.7265954
2023-04-23,5.728977
2023-04-24,5.9065657
2023-04-25,5.9745865
2023-04-26,5.988613
2023-04-27,5.9377413
2023-04-28,5.986819
2023-04-29,6.0702524
2023-04-30,6.126202
