date,prediction
2022-10-01,5.564942
2022-10-02,5.2564125
2022-10-03,5.0628347
2022-10-04,5.0262175
2022-10-05,5.1675596
2022-10-06,5.253859
2022-10-07,5.370859
2022-10-08,5.612545
2022-10-09,5.6885705
2022-10-10,5.7705526
2022-10-11,5.7256746
2022-10-12,5.6864805
2022-10-13,5.691873
2022-10-14,5.6953974
2022-10-15,5.85292
2022-10-16,6.143085
2022-10-17,6.369665
2022-10-18,6.404708
2022-10-19,6.267419
2022-10-20,6.180912
2022-10-21,6.2857084
2022-10-22,6.6372924
2022-10-23,7.021326
2022-10-24,7.0952234
2022-10-25,6.977669
2022-10-26,7.214719
2022-10-27,7.5080585
2022-10-28,7.7257986
2022-10-29,7.6706758
2022-10-30,7.664917
2022-10-31,7.502136
2022-11-01,7.726447
2022-11-02,7.9028296
2022-11-03,8.0196705
2022-11-04,8.04131
2022-11-05,8.051593
2022-11-06,8.1088295
2022-11-07,8.288649
2022-11-08,8.466565
2022-11-09,8.411723
2022-11-10,8.306232
2022-11-11,8.140185
2022-11-12,8.086315
2022-11-13,7.9749937
2022-11-14,8.018631
2022-11-15,8.622476
2022-11-16,9.30418
2022-11-17,9.783449
2022-11-18,9.744743
2022-11-19,9.560797
2022-11-20,9.51953
2022-11-21,9.8022175
2022-11-22,9.775038
2022-11-23,9.845066
2022-11-24,9.602156
2022-11-25,9.5570965
2022-11-26,9.706648
2022-11-27,9.535853
2022-11-28,9.9984455
2022-11-29,10.444323
2022-11-30,10.671907
2022-12-01,11.081074
2022-12-02,11.524633
2022-12-03,11.51995
2022-12-04,11.848115
2022-12-05,12.72196
2022-12-06,12.813934
2022-12-07,12.919302
2022-12-08,12.622698
2022-12-09,12.738903
2022-12-10,12.354494
2022-12-11,11.863436
2022-12-12,11.25794
2022-12-13,11.30092
2022-12-14,11.607073
2022-12-15,11.525887
2022-12-16,11.345581
2022-12-17,11.464822
2022-12-18,11.17371
2022-12-19,10.701197
2022-12-20,11.04517
2022-12-21,11.360556
2022-12-22,11.289527
2022-12-23,11.1366005
2022-12-24,10.607706
2022-12-25,10.389502
2022-12-26,10.456295
2022-12-27,10.6110325
2022-12-28,11.011911
2022-12-29,11.244315
2022-12-30,11.34252
2022-12-31,11.376347
2023-01-01,11.05013
2023-01-02,10.704968
2023-01-03,10.461856
2023-01-04,10.616122
2023-01-05,10.752924
2023-01-06,11.136858
2023-01-07,12.238258
2023-01-08,13.789071
2023-01-09,14.184845
2023-01-10,14.867786
2023-01-11,15.260847
2023-01-12,14.808041
2023-01-13,14.002755
2023-01-14,13.568274
2023-01-15,13.217557
2023-01-16,12.981548
2023-01-17,12.764835
2023-01-18,12.579417
2023-01-19,12.286594
2023-01-20,12.364458
2023-01-21,12.22701
2023-01-22,12.317129
2023-01-23,12.337154
2023-01-24,12.191441
2023-01-25,12.307962
2023-01-26,12.023708
2023-01-27,11.833246
2023-01-28,11.79063
2023-01-29,11.410131
2023-01-30,11.471651
2023-01-31,11.405974
2023-02-01,11.022472
2023-02-02,11.235968
2023-02-03,11.6336975
2023-02-04,11.470359
2023-02-05,11.594236
2023-02-06,11.998745
2023-02-07,12.378092
2023-02-08,12.665024
2023-02-09,13.130309
2023-02-10,12.517334
2023-02-11,12.279772
2023-02-12,12.003731
2023-02-13,11.960352
2023-02-14,11.749916
2023-02-15,11.608982
2023-02-16,11.805496
2023-02-17,11.609255
2023-02-18,11.291063
2023-02-19,11.601781
2023-02-20,12.177488
2023-02-21,12.524704
2023-02-22,12.10185
2023-02-23,11.885737
2023-02-24,12.254393
2023-02-25,12.255792
2023-02-26,11.503228
2023-02-27,10.490046
2023-02-28,9.975952
2023-03-01,9.935464
2023-03-02,9.949431
2023-03-03,10.085887
2023-03-04,9.91133
2023-03-05,9.504394
2023-03-06,9.303096
2023-03-07,9.289982
2023-03-08,9.584092
2023-03-09,9.35095
2023-03-10,8.7604475
2023-03-11,8.420949
2023-03-12,8.701443
2023-03-13,8.365611
2023-03-14,8.178962
2023-03-15,8.357484
2023-03-16,8.119721
2023-03-17,7.8356586
2023-03-18,7.425679
2023-03-19,7.4513564
2023-03-20,7.692519
2023-03-21,7.3956413
2023-03-22,7.064746
2023-03-23,6.8677425
2023-03-24,6.804759
2023-03-25,6.4918656
2023-03-26,6.0814085
2023-03-27,5.552388
2023-03-28,5.2609715
2023-03-29,5.244814
2023-03-30,5.502351
2023-03-31,5.546265
2023-04-01,5.6106462
2023-04-02,5.5791225
2023-04-03,5.4619665
2023-04-04,5.3426504
2023-04-05,5.18765
2023-04-06,4.8734064
2023-04-07,4.7844005
2023-04-08,5.0420704
2023-04-09,5.2830834
2023-04-10,5.4633017
2023-04-11,5.5178075
2023-04-12,5.493252
2023-04-13,5.357355
2023-04-14,5.21528
2023-04-15,5.469223
2023-04-16,5.8945727
2023-04-17,5.9524927
2023-04-18,5.850011
2023-04-19,5.5980387
2023-04-20,5.415328
2023-04-21,5.306491
2023-04-22,5.2196264
2023-04-23,5.1589108
2023-04-24,5.236698
2023-04-25,5.2018127
2023-04-26,5.101541
2023-04-27,4.9867916
2023-04-28,4.902091
2023-04-29,4.8302665
2023-04-30,4.711411
