date,prediction
2022-10-01,7.7361784
2022-10-02,7.9239025
2022-10-03,8.271151
2022-10-04,8.6021385
2022-10-05,9.03478
2022-10-06,9.294945
2022-10-07,9.592653
2022-10-08,9.98877
2022-10-09,10.059329
2022-10-10,10.098736
2022-10-11,9.887206
2022-10-12,9.648806
2022-10-13,9.420243
2022-10-14,9.141727
2022-10-15,8.930909
2022-10-16,8.816248
2022-10-17,8.98815
2022-10-18,9.305321
2022-10-19,9.928152
2022-10-20,10.711238
2022-10-21,11.776489
2022-10-22,12.94346
2022-10-23,13.719393
2022-10-24,13.847974
2022-10-25,13.736591
2022-10-26,14.16567
2022-10-27,14.371493
2022-10-28,14.391421
2022-10-29,13.944216
2022-10-30,13.761511
2022-10-31,13.275591
2022-11-01,13.96313
2022-11-02,14.664286
2022-11-03,15.308422
2022-11-04,15.769638
2022-11-05,16.15633
2022-11-06,16.57652
2022-11-07,17.04174
2022-11-08,17.25823
2022-11-09,16.876202
2022-11-10,16.50322
2022-11-11,15.964461
2022-11-12,15.567619
2022-11-13,14.873763
2022-11-14,14.518595
2022-11-15,15.067387
2022-11-16,15.244875
2022-11-17,15.224112
2022-11-18,14.586811
2022-11-19,14.198779
2022-11-20,14.246018
2022-11-21,14.812387
2022-11-22,14.714762
2022-11-23,15.099994
2022-11-24,14.786323
2022-11-25,15.016037
2022-11-26,15.356295
2022-11-27,14.925346
2022-11-28,15.763956
2022-11-29,16.13403
2022-11-30,16.116821
2022-12-01,16.611055
2022-12-02,17.038794
2022-12-03,16.660397
2022-12-04,17.296303
2022-12-05,18.616491
2022-12-06,18.049633
2022-12-07,18.11713
2022-12-08,17.363077
2022-12-09,17.739721
2022-12-10,16.86136
2022-12-11,16.148336
2022-12-12,15.060335
2022-12-13,15.489346
2022-12-14,15.752648
2022-12-15,15.067759
2022-12-16,14.41325
2022-12-17,14.638493
2022-12-18,13.878668
2022-12-19,13.250641
2022-12-20,14.402016
2022-12-21,14.779339
2022-12-22,14.557019
2022-12-23,14.519981
2022-12-24,13.716473
2022-12-25,13.769065
2022-12-26,14.023486
2022-12-27,14.240834
2022-12-28,14.872147
2022-12-29,14.945568
2022-12-30,14.955592
2022-12-31,14.929388
2023-01-01,14.263411
2023-01-02,13.85784
2023-01-03,13.646678
2023-01-04,14.097921
2023-01-05,14.129363
2023-01-06,14.724219
2023-01-07,16.626139
2023-01-08,19.110298
2023-01-09,18.848429
2023-01-10,20.32845
2023-01-11,20.801535
2023-01-12,19.708054
2023-01-13,18.867043
2023-01-14,18.838701
2023-01-15,18.562822
2023-01-16,18.476711
2023-01-17,18.264095
2023-01-18,18.088623
2023-01-19,17.588634
2023-01-20,17.990143
2023-01-21,17.567966
2023-01-22,17.78764
2023-01-23,17.704834
2023-01-24,17.32588
2023-01-25,17.554623
2023-01-26,16.651295
2023-01-27,16.465248
2023-01-28,16.395874
2023-01-29,15.361966
2023-01-30,15.687285
2023-01-31,15.346155
2023-02-01,14.533931
2023-02-02,15.336528
2023-02-03,15.937749
2023-02-04,15.206278
2023-02-05,15.573688
2023-02-06,16.219032
2023-02-07,16.577839
2023-02-08,16.809353
2023-02-09,17.463705
2023-02-10,15.835597
2023-02-11,15.952215
2023-02-12,15.594593
2023-02-13,15.697255
2023-02-14,15.320747
2023-02-15,15.349045
2023-02-16,15.897339
2023-02-17,15.421659
2023-02-18,15.075513
2023-02-19,16.087257
2023-02-20,17.017542
2023-02-21,17.307985
2023-02-22,16.38144
2023-02-23,16.511183
2023-02-24,17.543566
2023-02-25,17.37584
2023-02-26,16.081654
2023-02-27,14.799939
2023-02-28,14.641062
2023-03-01,14.913674
2023-03-02,14.852847
2023-03-03,15.0200405
2023-03-04,14.513756
2023-03-05,13.87804
2023-03-06,13.813611
2023-03-07,13.938117
2023-03-08,14.513998
2023-03-09,14.003534
2023-03-10,13.369641
2023-03-11,13.389204
2023-03-12,14.284147
2023-03-13,13.857994
2023-03-14,14.043745
2023-03-15,14.697759
2023-03-16,14.593158
2023-03-17,14.595988
2023-03-18,14.269352
2023-03-19,14.65324
2023-03-20,15.137953
2023-03-21,14.745711
2023-03-22,14.616771
2023-03-23,14.533069
2023-03-24,14.5061
2023-03-25,14.020107
2023-03-26,13.452454
2023-03-27,12.797562
2023-03-28,12.351967
2023-03-29,12.252775
2023-03-30,12.469742
2023-03-31,12.333229
2023-04-01,12.303614
2023-04-02,12.148443
2023-04-03,11.961573
2023-04-04,11.795792
2023-04-05,11.620224
2023-04-06,11.227703
2023-04-07,11.024515
2023-04-08,11.058624
2023-04-09,10.983078
2023-04-10,10.825081
2023-04-11,10.418278
2023-04-12,9.828108
2023-04-13,9.034746
2023-04-14,8.032368
2023-04-15,7.3826537
2023-04-16,7.1533947
2023-04-17,6.8018417
2023-04-18,6.6485724
2023-04-19,6.469957
2023-04-20,6.5626297
2023-04-21,7.0312886
2023-04-22,7.6222796
2023-04-23,8.367068
2023-04-24,9.163532
2023-04-25,9.700536
2023-04-26,10.300278
2023-04-27,10.7969675
2023-04-28,11.091681
2023-04-29,11.20763
2023-04-30,11.084885
